val1,suit1,val2,suit2,nwin,nloose,nsplit
3.0,1.0,14.0,1.0,0.5626,0.402,0.0354
3.0,0.0,14.0,1.0,0.5424,0.4174,0.0402
3.0,3.0,14.0,1.0,0.5388,0.4188,0.0424
4.0,2.0,2.0,0.0,0.2772,0.667,0.0558
4.0,2.0,2.0,3.0,0.2814,0.6634,0.0552
4.0,2.0,2.0,2.0,0.3206,0.6258,0.0536
4.0,2.0,2.0,1.0,0.278,0.664,0.058
4.0,3.0,2.0,2.0,0.2654,0.6772,0.0574
4.0,3.0,2.0,1.0,0.2746,0.6668,0.0586
4.0,1.0,2.0,1.0,0.3108,0.6326,0.0566
4.0,2.0,3.0,0.0,0.3034,0.6316,0.065
4.0,2.0,3.0,3.0,0.303,0.6388,0.0582
4.0,2.0,3.0,2.0,0.3374,0.6076,0.055
4.0,3.0,3.0,0.0,0.3044,0.6346,0.061
4.0,3.0,3.0,3.0,0.3394,0.6036,0.057
4.0,3.0,3.0,2.0,0.2882,0.647,0.0648
4.0,1.0,3.0,0.0,0.3064,0.6272,0.0664
4.0,1.0,3.0,3.0,0.2938,0.653,0.0532
4.0,1.0,3.0,2.0,0.3018,0.6396,0.0586
4.0,0.0,3.0,2.0,0.312,0.6286,0.0594
4.0,2.0,4.0,3.0,0.5212,0.4612,0.0176
4.0,2.0,4.0,1.0,0.5258,0.4622,0.012
4.0,2.0,4.0,0.0,0.5128,0.4702,0.017
4.0,3.0,4.0,1.0,0.5322,0.4528,0.015
4.0,3.0,4.0,0.0,0.5472,0.4322,0.0206
4.0,1.0,4.0,0.0,0.5154,0.4692,0.0154
4.0,2.0,5.0,3.0,0.3282,0.6116,0.0602
4.0,2.0,5.0,2.0,0.3764,0.5696,0.054
4.0,2.0,5.0,1.0,0.3196,0.6142,0.0662
4.0,2.0,5.0,0.0,0.3302,0.6148,0.055
4.0,3.0,5.0,2.0,0.3302,0.6144,0.0554
4.0,3.0,5.0,1.0,0.3258,0.6146,0.0596
4.0,3.0,5.0,0.0,0.3314,0.6138,0.0548
4.0,2.0,6.0,0.0,0.3442,0.5968,0.059
4.0,2.0,6.0,3.0,0.3322,0.6114,0.0564
4.0,2.0,6.0,1.0,0.3304,0.6088,0.0608
4.0,2.0,6.0,2.0,0.3794,0.5696,0.051
4.0,3.0,6.0,0.0,0.329,0.6168,0.0542
4.0,3.0,6.0,3.0,0.36,0.5852,0.0548
4.0,3.0,6.0,1.0,0.329,0.6136,0.0574
4.0,3.0,6.0,2.0,0.3296,0.6152,0.0552
4.0,1.0,6.0,2.0,0.3156,0.6204,0.064
4.0,0.0,6.0,2.0,0.3282,0.613,0.0588
4.0,2.0,7.0,2.0,0.3896,0.5596,0.0508
4.0,2.0,7.0,0.0,0.3368,0.6092,0.054
4.0,2.0,7.0,3.0,0.3326,0.613,0.0544
4.0,2.0,7.0,1.0,0.3308,0.617,0.0522
4.0,3.0,7.0,2.0,0.339,0.6038,0.0572
4.0,3.0,7.0,0.0,0.3312,0.6128,0.056
4.0,3.0,7.0,3.0,0.387,0.5568,0.0562
4.0,3.0,7.0,1.0,0.3268,0.6202,0.053
4.0,2.0,8.0,0.0,0.3482,0.5992,0.0526
4.0,2.0,8.0,2.0,0.3898,0.5632,0.047
4.0,2.0,8.0,1.0,0.3398,0.6046,0.0556
4.0,2.0,8.0,3.0,0.3534,0.5948,0.0518
4.0,3.0,8.0,1.0,0.3434,0.6052,0.0514
4.0,3.0,8.0,3.0,0.3882,0.5642,0.0476
4.0,1.0,8.0,3.0,0.338,0.6048,0.0572
4.0,2.0,9.0,1.0,0.3524,0.5974,0.0502
4.0,2.0,9.0,0.0,0.3608,0.5848,0.0544
4.0,2.0,9.0,3.0,0.3514,0.5978,0.0508
4.0,3.0,9.0,0.0,0.3582,0.5902,0.0516
4.0,3.0,9.0,3.0,0.3908,0.561,0.0482
4.0,2.0,10.0,3.0,0.392,0.5634,0.0446
4.0,2.0,10.0,1.0,0.3894,0.5598,0.0508
4.0,2.0,10.0,2.0,0.4318,0.517,0.0512
4.0,2.0,10.0,0.0,0.3834,0.5672,0.0494
4.0,3.0,10.0,3.0,0.4324,0.521,0.0466
4.0,3.0,10.0,1.0,0.3912,0.5578,0.051
4.0,3.0,10.0,2.0,0.405,0.5468,0.0482
4.0,3.0,10.0,0.0,0.3816,0.5702,0.0482
4.0,1.0,10.0,2.0,0.3824,0.566,0.0516
4.0,1.0,10.0,0.0,0.3824,0.57,0.0476
4.0,2.0,11.0,2.0,0.453,0.5022,0.0448
4.0,2.0,11.0,1.0,0.4204,0.5304,0.0492
4.0,2.0,11.0,0.0,0.432,0.5244,0.0436
4.0,2.0,11.0,3.0,0.425,0.5256,0.0494
