val1,val2,nwin,nloose,nsplit,suited
2,3,0.33399999999999996,0.60835,0.05765,1
2,4,0.31825000000000003,0.62805,0.0537,1
2,5,0.35145,0.588,0.06055,1
2,6,0.3487,0.5914,0.059899999999999995,1
2,7,0.36675,0.5776,0.05565,1
2,8,0.38215,0.56135,0.0565,1
2,9,0.403,0.5458,0.051199999999999996,1
2,10,0.43105,0.5197,0.04925,1
2,11,0.4616,0.4942,0.0442,1
2,12,0.4674,0.49755,0.03505,1
2,13,0.5188,0.4438,0.0374,1
2,14,0.55,0.41235,0.037649999999999996,1
3,4,0.34025,0.60495,0.0548,1
3,5,0.36685,0.57595,0.0572,1
3,6,0.36865,0.57335,0.058,1
3,7,0.38125,0.5661,0.05265,1
3,8,0.3964,0.548,0.0556,1
3,9,0.41565,0.5351,0.04925,1
3,10,0.43705,0.5171,0.04585,1
3,11,0.4636,0.49305,0.04335,1
3,12,0.47645,0.4888,0.03475,1
3,13,0.52975,0.42985,0.040400000000000005,1
3,14,0.56895,0.39390000000000003,0.03715,1
4,5,0.36455,0.58245,0.053,1
4,6,0.36505,0.5795,0.05545,1
4,7,0.38105,0.56475,0.0542,1
4,8,0.3818,0.5688,0.0494,1
4,9,0.39005,0.5609500000000001,0.049,1
4,10,0.42515000000000003,0.52645,0.0484,1
4,11,0.4486,0.50505,0.04635,1
4,12,0.45815,0.50605,0.0358,1
4,13,0.51035,0.448,0.04165,1
4,14,0.55555,0.4033,0.04115,1
5,6,0.3996,0.54245,0.05795,1
5,7,0.41015,0.53285,0.056999999999999995,1
5,8,0.42935,0.51805,0.0526,1
5,9,0.4457,0.50645,0.047850000000000004,1
5,10,0.4577,0.50065,0.04165,1
5,11,0.48585,0.4704,0.04375,1
5,12,0.4896,0.47495,0.035449999999999995,1
5,13,0.5397,0.4203,0.04,1
5,14,0.57875,0.38175000000000003,0.0395,1
6,7,0.4354,0.5104,0.0542,1
6,8,0.4466,0.50295,0.05045,1
6,9,0.46015,0.49505,0.0448,1
6,10,0.4818,0.47495,0.04325,1
6,11,0.49385,0.4653,0.04085,1
6,12,0.5066,0.46075,0.03265,1
6,13,0.5491,0.41315,0.03775,1
6,14,0.5854,0.3774,0.0372,1
7,8,0.46975,0.48555,0.0447,1
7,9,0.48605,0.47025,0.0437,1
7,10,0.50095,0.45785,0.0412,1
7,11,0.51495,0.44525,0.0398,1
7,12,0.51385,0.455,0.03115,1
7,13,0.56185,0.40225,0.0359,1
7,14,0.60345,0.3632,0.033350000000000005,1
8,9,0.498,0.46065,0.04135,1
8,10,0.519,0.44355,0.03745,1
8,11,0.5351,0.42895,0.035949999999999996,1
8,12,0.5231,0.4471,0.0298,1
8,13,0.5831,0.38645,0.03045,1
8,14,0.6084,0.3626,0.028999999999999998,1
9,10,0.5344,0.4301,0.035500000000000004,1
9,11,0.5501,0.4174,0.0325,1
9,12,0.5484,0.4239,0.0277,1
9,13,0.5898,0.38125,0.02895,1
9,14,0.61905,0.3536,0.02735,1
10,11,0.5719,0.4,0.0281,1
10,12,0.5701,0.4079,0.022,1
10,13,0.6125499999999999,0.36305,0.024399999999999998,1
10,14,0.63965,0.3389,0.02145,1
11,12,0.5751999999999999,0.4019,0.0229,1
11,13,0.61605,0.36165,0.0223,1
11,14,0.6523,0.32765,0.02005,1
12,13,0.6127,0.36795,0.01935,1
12,14,0.6425,0.34235,0.01515,1
13,14,0.66655,0.31520000000000004,0.01825,1
